"","School.Type","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Gender.Ratio.M.to.F","Enrol_sum_all","Enrol_sum_JKto3","Enrol_sum_4to6"
"3196","Catholic","Low","Lowest","Low","Lowest","Lowest","Highest","FALSE","Medium","Low","Low","Low","Low","Low","High","Low","YES","NO","NO","Medium","Low","Low","Low"
"3197","Catholic","Highest","Medium","Low","Lowest","Lowest","Highest","FALSE","Medium","Low","Medium","Medium","High","Medium","Low","Medium","YES","NO","NO","Medium","Low","Low","Low"
"3198","Catholic","High","Lowest","Low","Lowest","Lowest","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Low","YES","NO","NO","Medium","Low","Low","Low"
"3199","Catholic","Lowest","Low","Low","Lowest","Lowest","Highest","FALSE","Low","Lowest","Lowest","Medium","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Medium","Low","Low","Low"
"3200","Catholic","Lowest","Medium","Low","Medium","Medium","Highest","FALSE","Low","High","Low","Low","High","Low","Low","Medium","YES","NO","NO","Medium","Low","Low","Low"
"3201","Catholic","High","Low","Low","Lowest","Lowest","High","FALSE","High","Low","Medium","High","High","Medium","Lowest","Lowest","YES","NO","NO","Medium","Low","Low","Low"
"3202","Catholic","Medium","Lowest","Low","Lowest","Lowest","Highest","FALSE","Medium","Low","Medium","Low","Low","Low","Medium","Low","YES","NO","NO","Medium","Low","Low","Low"
"3204","Catholic","High","Low","Low","Lowest","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","High","Low","YES","NO","NO","Medium","Low","Low","Low"
"3205","Catholic","Highest","Lowest","Low","Lowest","Lowest","Highest","FALSE","Medium","High","Medium","Medium","Medium","Lowest","Low","Medium","YES","NO","NO","Medium","Low","Low","Low"
"3206","Catholic","Medium","Low","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Low","Medium","Low","High","Medium","Low","YES","NO","NO","Medium","Low","Low","Low"
"3208","Catholic","Lowest","Low","Low","Lowest","Lowest","Highest","FALSE","High","Low","Low","Medium","Lowest","Medium","High","Medium","YES","NO","NO","Medium","Low","Low","Low"
"3209","Catholic","Medium","Low","Low","Low","Lowest","Highest","FALSE","Low","Low","Lowest","Low","Low","Low","High","Medium","YES","NO","NO","Medium","Low","Low","Low"
"3210","Catholic","Low","Low","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Low","Highest","Medium","High","Medium","Low","YES","NO","NO","Medium","Low","Low","Low"
"3211","Catholic","Low","Low","Low","Lowest","Lowest","Highest","FALSE","High","Medium","Highest","Highest","Highest","High","Low","Medium","YES","NO","NO","Medium","Low","Low","Low"
"3212","Catholic","High","Medium","Low","Lowest","Lowest","High","FALSE","High","Highest","Low","High","High","Highest","Lowest","Medium","YES","NO","NO","Medium","Low","Low","Low"
"3213","Catholic","Lowest","Low","Lowest","Lowest","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","High","Low","YES","NO","NO","Medium","Low","Low","Low"
"3214","Catholic","Highest","Lowest","Low","Lowest","Lowest","Lowest","FALSE","Medium","High","High","High","High","High","Low","High","YES","NO","YES","Lowest","Low","Low","Low"
"3216","Catholic","Lowest","Low","Low","Lowest","Lowest","Medium","FALSE","Medium","High","High","Medium","High","Medium","Low","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3217","Catholic","High","Lowest","Low","Lowest","Lowest","Low","FALSE","Medium","Medium","Low","Highest","Highest","Highest","Lowest","High","YES","NO","YES","Lowest","Low","Low","Low"
"3218","Catholic","High","Lowest","Low","Lowest","Lowest","Lowest","FALSE","High","High","Highest","Highest","Medium","High","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3219","Catholic","Medium","Low","Low","Lowest","Lowest","Medium","FALSE","Medium","Low","Low","High","Medium","High","Medium","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3220","Catholic","Highest","Low","Low","Low","Lowest","Low","FALSE","Low","High","Lowest","High","Highest","High","Medium","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3222","Catholic","Medium","Lowest","Low","Lowest","Lowest","Lowest","FALSE","Medium","Medium","Medium","Low","Medium","Low","Low","Medium","YES","NO","YES","Lowest","Low","Low","Low"
"3223","Catholic","Medium","Lowest","Low","Lowest","Lowest","High","FALSE","Low","Medium","Medium","Medium","Medium","Low","Medium","High","YES","NO","NO","Lowest","Low","Low","Low"
"3226","Catholic","Low","Low","Low","Low","Low","Low","FALSE","High","Low","Lowest","Low","Medium","Low","Medium","High","YES","NO","YES","Lowest","Low","Low","Low"
"3227","Catholic","Medium","Lowest","Low","Lowest","Lowest","Lowest","FALSE","High","Highest","High","Highest","Highest","Medium","Lowest","High","YES","NO","YES","Lowest","Low","Low","Low"
"3229","Catholic","Lowest","Lowest","Low","Lowest","Lowest","High","FALSE","Low","High","Medium","Highest","Highest","Lowest","Medium","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3230","Catholic","High","Lowest","Low","Lowest","Lowest","Low","FALSE","Low","Low","Medium","Medium","High","High","Medium","Low","YES","NO","YES","Lowest","Low","Low","Low"
"3231","Catholic","Low","Lowest","Low","Lowest","Lowest","High","FALSE","Highest","Medium","High","High","High","Medium","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3232","Catholic","High","Low","Low","Lowest","Lowest","Low","FALSE","Medium","High","Low","High","High","Highest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3233","Catholic","Highest","Lowest","Low","Lowest","Lowest","Lowest","FALSE","Medium","Medium","Medium","Medium","High","Highest","Medium","High","YES","NO","NO","Lowest","Low","Low","Low"
"3234","Catholic","Highest","Lowest","Low","Lowest","Lowest","Lowest","FALSE","Low","Low","Highest","Highest","Highest","Highest","Low","High","YES","YES","YES","Lowest","Low","Low","Low"
"3235","Catholic","Medium","Lowest","Lowest","Lowest","Lowest","Low","FALSE","Lowest","Low","Low","High","Highest","High","Lowest","Highest","YES","NO","YES","Lowest","Low","Low","Low"
"3236","Catholic","High","Lowest","Low","Lowest","Lowest","Low","FALSE","High","Highest","High","Medium","Highest","Highest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3237","Catholic","High","Lowest","Lowest","Lowest","Lowest","High","FALSE","Low","Medium","Medium","Lowest","Low","Low","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3238","Catholic","Medium","Lowest","Low","Lowest","Lowest","Low","FALSE","High","High","High","High","High","Highest","Medium","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3239","Catholic","High","Lowest","Low","Lowest","Lowest","Low","FALSE","Highest","Highest","Highest","High","Highest","High","Low","High","YES","NO","NO","Lowest","Low","Low","Low"
"3241","Catholic","Medium","Lowest","Low","Lowest","Lowest","Low","FALSE","Highest","Highest","Highest","Medium","Highest","Medium","Low","High","YES","NO","NO","Lowest","Low","Low","Low"
"3242","Catholic","High","Lowest","Low","Lowest","Lowest","Low","FALSE","Highest","Medium","Low","High","Medium","Medium","High","High","YES","NO","NO","Lowest","Low","Low","Low"
"3243","Catholic","Low","Lowest","Low","Lowest","Lowest","Lowest","FALSE","Medium","Medium","High","Medium","High","Medium","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3244","Catholic","Lowest","Lowest","Low","Lowest","Lowest","Highest","FALSE","Lowest","Lowest","Low","Low","Low","Lowest","Medium","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3245","Catholic","Lowest","Lowest","Low","Lowest","Lowest","Highest","FALSE","High","Medium","Medium","Highest","High","Low","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3246","Catholic","High","Lowest","Low","Low","Lowest","Lowest","FALSE","High","High","Medium","Highest","Highest","High","Low","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3247","Catholic","Highest","Lowest","Low","Lowest","Lowest","Lowest","FALSE","Lowest","High","High","Highest","Highest","Highest","Low","High","YES","YES","YES","Lowest","Low","Low","Low"
"3249","Catholic","Lowest","Lowest","Low","Lowest","Lowest","High","FALSE","Low","Lowest","Medium","Lowest","Lowest","Lowest","Lowest","Low","YES","NO","NO","Lowest","Low","Low","Low"
"3250","Catholic","Low","Lowest","Low","Lowest","Lowest","Low","FALSE","Low","Lowest","Low","High","High","Highest","Medium","Highest","YES","YES","YES","Lowest","Low","Low","Low"
"3251","Catholic","Medium","Lowest","Low","Lowest","Lowest","High","FALSE","Lowest","Lowest","Low","Low","Medium","Medium","Medium","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3252","Catholic","Low","Low","Lowest","Lowest","Lowest","High","FALSE","Lowest","Lowest","Lowest","Low","Lowest","Lowest","Highest","Lowest","YES","YES","YES","Lowest","Low","Low","Low"
"3253","Catholic","Low","Lowest","Low","Lowest","Lowest","High","FALSE","High","Low","Low","Highest","Medium","Medium","High","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3254","Catholic","Medium","Lowest","Lowest","Lowest","Lowest","Low","FALSE","Lowest","Lowest","Medium","Medium","Highest","High","Lowest","High","YES","NO","YES","Lowest","Low","Low","Low"
"3256","Catholic","Low","Low","Low","Lowest","Lowest","Low","FALSE","Highest","High","Medium","Highest","Highest","Lowest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3257","Catholic","Lowest","Lowest","Low","Lowest","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"3260","Catholic","High","Medium","Low","Low","Lowest","Lowest","FALSE","Medium","Medium","Medium","High","High","Highest","Low","High","YES","YES","NO","Lowest","Low","Low","Low"
"3261","Catholic","Lowest","Low","Low","High","High","Lowest","FALSE","Highest","Medium","High","Lowest","Low","Lowest","Highest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3262","Catholic","Highest","Low","Low","Medium","Medium","Lowest","FALSE","High","Medium","Highest","Low","Low","High","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3263","Catholic","Highest","Low","Low","Low","Low","Lowest","FALSE","Medium","Medium","High","High","Highest","Highest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3264","Catholic","Low","Lowest","Low","Low","Low","Low","FALSE","Highest","Highest","Highest","Low","Medium","Highest","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3265","Catholic","Low","Medium","Lowest","Medium","Medium","Lowest","FALSE","Highest","Highest","Highest","Low","Medium","Highest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3267","Catholic","Low","Medium","Low","Low","Low","Lowest","FALSE","High","High","Highest","High","High","Highest","Low","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3268","Catholic","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","Medium","Medium","Medium","Medium","Medium","Medium","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3269","Catholic","Medium","Lowest","Low","Low","Low","Medium","FALSE","Low","High","Low","Medium","Low","Medium","Lowest","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"3270","Catholic","Highest","Low","Low","Medium","Medium","Lowest","FALSE","Highest","High","Highest","High","Highest","Highest","Low","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3271","Catholic","Low","Low","Lowest","Medium","Medium","Lowest","FALSE","High","High","Medium","Highest","Highest","Highest","Medium","High","YES","NO","NO","Lowest","Low","Low","Low"
"3272","Catholic","High","High","Lowest","Medium","Medium","Lowest","TRUE","Highest","Highest","Highest","High","Highest","Highest","Lowest","Highest","YES","YES","NO","Lowest","Low","Low","Low"
"3274","Catholic","Lowest","Medium","Low","High","High","Medium","FALSE","Lowest","High","Medium","Low","Low","Lowest","Medium","High","YES","NO","NO","Lowest","Low","Low","Low"
"3275","Catholic","Highest","High","Low","Low","Medium","Lowest","TRUE","Highest","Highest","Highest","High","High","High","Low","Highest","YES","YES","NO","Lowest","Low","Low","Low"
"3276","Catholic","High","Medium","Low","Medium","Medium","Lowest","FALSE","Medium","Medium","Medium","Highest","Highest","Medium","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3277","Catholic","High","Medium","Low","Low","Lowest","Low","FALSE","Low","Lowest","Low","Low","Low","Medium","Low","High","YES","NO","NO","Lowest","Low","Low","Low"
"3278","Catholic","Low","Low","Low","Low","Low","Lowest","FALSE","Highest","Highest","Highest","Lowest","Low","Medium","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3279","Catholic","Medium","Medium","Low","High","High","Lowest","FALSE","Highest","High","Highest","High","Highest","High","Low","High","YES","NO","NO","Lowest","Low","Low","Low"
"3281","Catholic","High","Low","Lowest","Low","Low","Lowest","FALSE","Highest","Highest","High","High","High","High","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3283","Catholic","Medium","Low","Low","Low","Low","Lowest","FALSE","Medium","Medium","Low","High","Medium","Medium","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3285","Catholic","High","Lowest","Low","Lowest","Lowest","Lowest","FALSE","High","Medium","High","Highest","Highest","Medium","Lowest","High","YES","YES","NO","Lowest","Low","Low","Low"
"3286","Catholic","High","Lowest","Low","Low","Lowest","Lowest","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Low","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3288","Catholic","Medium","Low","Low","Low","Low","Lowest","FALSE","Highest","Highest","High","Highest","Highest","Highest","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3289","Catholic","Highest","Lowest","Low","Low","Low","Lowest","FALSE","Low","Low","Low","Medium","Medium","High","Lowest","Highest","YES","YES","YES","Lowest","Low","Low","Low"
"3290","Catholic","Highest","Low","Low","Lowest","Lowest","Lowest","FALSE","Highest","High","Highest","Medium","High","High","Low","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3291","Catholic","High","Lowest","Low","Low","Lowest","Lowest","FALSE","High","Medium","Medium","Highest","Highest","Highest","Lowest","Highest","YES","YES","NO","Lowest","Low","Low","Low"
"3292","Catholic","Highest","Lowest","Low","Low","Low","Lowest","FALSE","High","Medium","High","Medium","High","High","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3294","Catholic","Highest","Low","Low","Low","Lowest","Lowest","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3295","Catholic","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","Highest","Highest","Highest","Low","Medium","Medium","Low","Highest","YES","YES","NO","Lowest","Low","Low","Low"
"3297","Catholic","Low","Lowest","Low","Low","Low","Highest","TRUE","Highest","High","Medium","Highest","Highest","High","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3298","Catholic","Medium","Lowest","Lowest","Low","Low","Medium","FALSE","Medium","Low","Low","Low","Low","Medium","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3299","Catholic","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","Medium","Low","Medium","High","Medium","High","Low","High","YES","YES","NO","Lowest","Low","Low","Low"
"3300","Catholic","Highest","Medium","Low","Low","Medium","Lowest","FALSE","High","Highest","Highest","High","High","High","Medium","Highest","YES","YES","YES","Lowest","Low","Low","Low"
"3301","Catholic","Highest","Medium","Low","Low","Low","Lowest","FALSE","High","High","High","Medium","Medium","High","Low","Highest","YES","NO","YES","Lowest","Low","Low","Low"
"3302","Catholic","Low","Lowest","Low","Low","Low","Lowest","FALSE","Medium","Low","High","Highest","Highest","Medium","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3303","Catholic","High","Low","Low","Lowest","Lowest","Lowest","FALSE","Medium","High","Medium","High","High","Highest","Lowest","Highest","YES","NO","YES","Lowest","Low","Low","Low"
"3304","Catholic","Medium","Lowest","Low","Lowest","Lowest","Medium","TRUE","Medium","High","High","Highest","High","Highest","Lowest","High","YES","NO","NO","Lowest","Low","Low","Low"
"3305","Catholic","Lowest","Low","Low","Low","Low","Low","FALSE","Highest","Highest","Highest","Medium","High","Low","Low","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3307","Catholic","Highest","Medium","Low","Medium","Medium","Low","TRUE","High","Medium","High","Highest","High","Highest","Medium","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3308","Catholic","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","High","Medium","Medium","Low","High","Medium","Lowest","Highest","YES","NO","YES","Lowest","Low","Low","Low"
"3309","Catholic","High","Low","Low","Low","Low","Lowest","FALSE","High","Medium","High","High","High","Highest","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3310","Catholic","Highest","Medium","Low","Low","Low","Lowest","FALSE","High","Highest","Highest","High","High","High","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3311","Catholic","Highest","Medium","Low","High","High","Lowest","FALSE","Highest","Highest","High","High","High","High","Lowest","Highest","YES","NO","NO","Lowest","Low","Low","Low"
"3313","Catholic","Medium","Low","Low","Medium","Medium","Lowest","FALSE","Highest","Highest","Highest","Highest","Highest","High","High","Medium","YES","NO","NO","High","Low","Low","Low"
"3314","Catholic","Highest","Medium","Lowest","Lowest","Lowest","Low","FALSE","High","Low","Low","Medium","Low","High","High","Lowest","YES","NO","YES","High","Low","Low","Low"
"3316","Catholic","High","Lowest","Low","Medium","Medium","Medium","FALSE","High","Medium","High","Medium","Highest","Highest","Lowest","High","YES","NO","NO","High","Low","Low","Low"
"3317","Catholic","Low","High","Low","Medium","Medium","High","FALSE","Medium","Medium","Low","Medium","Low","Medium","High","Lowest","YES","NO","NO","High","Low","Low","Low"
"3318","Catholic","Low","Low","Low","Medium","Medium","Low","FALSE","Highest","Highest","Highest","Highest","High","Lowest","Medium","Medium","YES","NO","NO","High","Low","Low","Low"
"3319","Catholic","Low","Low","Low","Medium","Medium","Medium","FALSE","Low","Low","Medium","High","Medium","Medium","Medium","Medium","YES","NO","NO","High","Low","Low","Low"
"3320","Catholic","Medium","Lowest","Lowest","Medium","Medium","Lowest","FALSE","Highest","Highest","Highest","Medium","High","High","Lowest","Highest","YES","NO","NO","High","Low","Low","Low"
"3321","Catholic","High","Medium","Low","Medium","Medium","Lowest","FALSE","Low","Highest","Highest","Medium","High","High","Highest","Low","YES","NO","NO","High","Low","Low","Low"
"3322","Catholic","Low","High","Low","Medium","Medium","Medium","FALSE","High","Highest","Highest","Medium","High","Highest","Highest","Lowest","YES","NO","NO","High","Low","Low","Low"
"3323","Catholic","High","Low","Low","Lowest","Lowest","Lowest","FALSE","Highest","Highest","Highest","High","Highest","Highest","Low","Highest","YES","NO","NO","High","Low","Low","Low"
"3324","Catholic","High","Medium","Low","Medium","Medium","Lowest","FALSE","High","High","High","High","Highest","High","Low","High","YES","NO","NO","High","Low","Low","Low"
"3325","Catholic","High","Medium","Low","Medium","Medium","Lowest","FALSE","Medium","Medium","High","Low","Low","Low","Highest","Low","YES","NO","NO","High","Low","Low","Low"
"3326","Catholic","Low","Low","Low","High","High","Lowest","FALSE","Medium","Highest","Highest","Medium","High","Highest","Low","High","YES","NO","NO","High","Low","Low","Low"
"3327","Catholic","Highest","Medium","Low","Medium","Medium","Lowest","FALSE","Highest","Highest","Highest","High","Highest","High","Low","Medium","YES","NO","NO","High","Low","Low","Low"
"3328","Catholic","Medium","High","Low","High","High","Low","FALSE","High","High","High","Lowest","Low","Medium","High","Lowest","YES","NO","NO","High","Low","Low","Low"
"3329","Catholic","Medium","Medium","Low","Medium","Medium","High","FALSE","Lowest","Lowest","Lowest","Low","Medium","High","Highest","Lowest","YES","NO","NO","High","Low","Low","Low"
"3331","Catholic","Medium","Medium","Low","Low","Lowest","Lowest","FALSE","Low","Medium","High","High","Highest","High","Medium","Medium","YES","NO","NO","High","Low","Low","Low"
"3332","Catholic","Low","Low","Low","Medium","Medium","Lowest","FALSE","High","Highest","High","Highest","Highest","Highest","Lowest","Medium","YES","NO","NO","High","Low","Low","Low"
"3333","Catholic","Low","Low","Low","Medium","Medium","Lowest","FALSE","Medium","Medium","High","High","Highest","Low","Low","Medium","YES","NO","NO","High","Low","Low","Low"
"3334","Catholic","Lowest","Medium","Low","Medium","Medium","Low","FALSE","Lowest","Lowest","Low","Medium","Medium","High","High","Lowest","YES","NO","NO","High","Low","Low","Low"
"3335","Catholic","Medium","Medium","Low","Low","Lowest","Low","FALSE","Highest","Highest","Low","Low","Lowest","Medium","High","Low","YES","NO","NO","High","Low","Low","Low"
"3336","Catholic","Lowest","High","Lowest","Highest","Highest","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Low","Low","Low"
"3337","Catholic","Medium","Medium","Low","Low","Lowest","Lowest","FALSE","Medium","Medium","High","High","High","High","High","Low","YES","NO","NO","High","Low","Low","Low"
"3338","Catholic","Low","Medium","Low","Medium","Medium","Lowest","FALSE","Highest","Highest","Highest","Highest","Highest","High","Lowest","High","YES","NO","NO","High","Low","Low","Low"
"3339","Catholic","Highest","Lowest","Low","Medium","Medium","Lowest","FALSE","High","High","Highest","Medium","High","High","Lowest","Medium","YES","YES","NO","High","Low","Low","Low"
"3340","Catholic","Highest","Lowest","Low","Medium","Medium","Lowest","FALSE","High","Highest","High","Medium","High","Medium","Lowest","Highest","YES","NO","NO","High","Low","Low","Low"
"3341","Catholic","Medium","Medium","Lowest","Medium","Medium","Lowest","FALSE","Low","Lowest","Medium","Low","Medium","Lowest","High","High","YES","NO","YES","High","Low","Low","Low"
"3342","Catholic","Medium","Low","Low","Medium","Medium","Lowest","FALSE","Lowest","High","Low","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Low","Low","Low"
"3343","Catholic","Highest","Medium","Low","Medium","Medium","Lowest","FALSE","Low","Low","Low","Medium","Medium","High","High","Medium","YES","NO","NO","High","Low","Low","Low"
"3344","Catholic","Highest","Low","Low","Medium","Medium","Lowest","FALSE","High","Highest","High","High","High","Low","Low","Highest","YES","NO","NO","High","Low","Low","Low"
"3345","Catholic","Lowest","Low","Low","High","High","Low","FALSE","Medium","Low","Low","Low","Medium","Lowest","High","Low","YES","NO","NO","High","Low","Low","Low"
"3346","Catholic","Medium","Lowest","Low","Lowest","Lowest","Medium","FALSE","Highest","Highest","Highest","Highest","Medium","High","Medium","Low","YES","NO","NO","High","Low","Low","Low"
"3347","Catholic","Low","Lowest","Low","Medium","Medium","Medium","FALSE","High","Highest","Medium","Highest","Highest","Highest","Low","High","YES","NO","NO","High","Low","Low","Low"
"3348","Catholic","Medium","High","Lowest","Medium","Medium","Lowest","FALSE","High","Highest","Medium","Low","Medium","Medium","Highest","Lowest","YES","NO","NO","High","Low","Low","Low"
"3349","Catholic","Lowest","High","Low","Highest","Highest","Lowest","FALSE","Low","Low","Medium","Medium","Medium","Medium","Highest","Medium","YES","NO","NO","High","Low","Low","Low"
"3351","Catholic","Highest","Low","Low","Lowest","Lowest","Lowest","FALSE","Highest","High","High","Medium","Medium","High","Lowest","Medium","YES","NO","NO","High","Low","Low","Low"
"3352","Catholic","Medium","Medium","Low","Medium","Medium","Lowest","FALSE","Medium","High","High","Medium","Lowest","Low","High","Medium","YES","NO","NO","High","Low","Low","Low"
"3353","Catholic","Medium","Medium","Low","Medium","Medium","Lowest","FALSE","Medium","Medium","Lowest","High","High","Medium","Low","Low","YES","NO","NO","High","Low","Low","Low"
"3354","Catholic","High","High","Low","Highest","Highest","Medium","FALSE","Low","Low","Low","Lowest","Medium","High","Highest","Low","YES","NO","NO","High","Low","Low","Low"
"3355","Catholic","Medium","High","Low","Low","Low","Medium","FALSE","Lowest","Low","Lowest","Low","Low","Low","Highest","Lowest","YES","NO","NO","High","Low","Low","Low"
"3357","Catholic","Medium","Lowest","Low","Medium","Medium","Low","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Medium","Low","YES","NO","NO","High","Low","Low","Low"
"3358","Catholic","High","Low","Low","Medium","Medium","Lowest","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","High","YES","NO","NO","High","Low","Low","Low"
"3359","Catholic","Medium","Lowest","Low","Medium","Medium","Lowest","FALSE","High","Medium","High","High","Highest","Highest","Low","High","YES","NO","NO","High","Low","Low","Low"
"3360","Catholic","Low","Medium","Low","Medium","Medium","Lowest","FALSE","High","Highest","Low","Low","Low","Medium","High","Medium","YES","NO","NO","High","Low","Low","Low"
"3362","Catholic","High","Lowest","Low","Medium","Medium","Low","FALSE","High","Medium","High","Medium","Low","High","Lowest","High","YES","NO","NO","High","Low","Low","Low"
"3363","Catholic","Low","Medium","Low","Medium","Medium","Low","FALSE","Medium","High","High","Highest","Highest","Highest","Lowest","Highest","YES","NO","NO","High","Low","Low","Low"
"3364","Catholic","Medium","Low","Low","Medium","Medium","Lowest","FALSE","Medium","Low","Low","Low","Lowest","Medium","Low","Medium","YES","NO","NO","High","Low","Low","Low"
"3365","Catholic","Highest","High","Low","High","High","Lowest","FALSE","Low","Medium","Medium","Medium","High","High","High","Low","YES","NO","YES","High","Low","Low","Low"
"3367","Catholic","Low","Medium","Low","High","High","Medium","FALSE","Lowest","Lowest","Lowest","Low","High","Medium","Low","High","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3368","Catholic","High","Low","Low","Lowest","Lowest","Low","FALSE","Low","Low","Medium","Lowest","Lowest","Lowest","Medium","Low","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3370","Catholic","Medium","Medium","Low","High","High","Medium","FALSE","Highest","High","Highest","Low","Lowest","Low","Lowest","Low","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3371","Catholic","Medium","Lowest","Low","High","High","Medium","FALSE","Highest","Highest","Highest","Low","High","High","Lowest","Highest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3372","Catholic","Medium","Lowest","Lowest","High","High","Lowest","FALSE","Medium","High","High","Low","Lowest","Lowest","Medium","Highest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3373","Catholic","Lowest","Medium","Low","High","High","Low","FALSE","Low","Lowest","Low","High","High","Medium","Low","Lowest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3374","Catholic","Lowest","Medium","Low","High","High","High","FALSE","Medium","Low","Lowest","Lowest","High","Lowest","High","Lowest","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3375","Catholic","Low","Medium","Low","Medium","Medium","Low","FALSE","High","Medium","Highest","Low","Lowest","Medium","High","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3376","Catholic","Medium","High","Low","Highest","Highest","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Low","Low","High","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
"3377","Catholic","Highest","Lowest","Low","Lowest","Lowest","Low","FALSE","Medium","Medium","Highest","Low","Medium","High","Lowest","Medium","YES","NO","NO","Low","Lowest","Lowest","Lowest"
