"","BoardID","SchoolID","Board.Type","School.Type","School.Special.Condition.Code","School.Language","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Percentage.of.Students.Identified.as.Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Junior.Kindergarten.Enrolment","Kindergarten.Enrolment","Grade.1.Enrolment","Grade.2.Enrolment","Grade.3.Enrolment","Grade.4.Enrolment","Grade.5.Enrolment","Grade.6.Enrolment","Grade.7.Enrolment","Grade.8.Enrolment","Board.Language","Elementary.Male.Educators","Elementary.Female.Educators"
"3014","B67075","783927","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",376,"7.4","99.7","2.7","2.7","12.5",NA,"98%","95%","76%","93%","86%","75%","10.4","44.3","YES","NO","NO","2,739","3,086","3,364","3,476","3,675","3,783","3,925","3,793","3,834","3,971","English","320.99","2,197.19"
"3015","B67075","798495","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",460,"22","99.3","4.8","4.8","16.5",NA,"88%","95%","70%","96%","92%","53%","21","43.4","YES","NO","NO","2,739","3,086","3,364","3,476","3,675","3,783","3,925","3,793","3,834","3,971","English","320.99","2,197.19"
"3017","B67075","792306","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",308,"32.1","100","4.2","4.2","14.9",NA,"72%","67%","65%","95%","95%","86%","21.6","41.2","YES","NO","YES","2,739","3,086","3,364","3,476","3,675","3,783","3,925","3,793","3,834","3,971","English","320.99","2,197.19"
"3018","B67083","724106","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",185,"43.2","100","7.6","7.6","14.5",NA,"85%","88%","77%","88%","82%","53%","20.6","58.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3019","B67083","742821","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",174,"25.9","98.9","6.3","SP","10.9",NA,"92%","92%","77%","88%","100%","56%","16.5","63.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3020","B67083","795852","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",561,"23.4","99.6","3.2","3.2","9","SP","82%","82%","62%","94%","89%","61%","15.9","63.9","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3022","B67083","747440","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",330,"28.5","99.7","6.7","6.7","11.2","SP","89%","94%","78%","85%","83%","64%","21.5","70.6","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3023","B67083","708038","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",320,"30.3","100","5.9","6.3","14.6",NA,"75%","69%","59%","82%","72%","44%","20.9","39.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3024","B67083","801178","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",678,"18.9","99.9","3.2","3.2","9.4",NA,"80%","72%","54%","81%","79%","40%","19.2","40.1","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3025","B67083","690031","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",256,"23.8","100","6.3","5.5","13.2",NA,"96%","91%","65%","95%","86%","32%","9.2","68.9","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3026","B67083","796468","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",192,"21.9","100","SP","SP","10.4",NA,"100%","100%","93%","100%","100%","59%","16.2","32.7","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3027","B67083","836036","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",623,"3.5","99.8","SP","SP","17.8",NA,"70%","67%","50%","84%","84%","49%","5.2","37.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3028","B67083","747882","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",619,"13.7","100","3.2","3.4","7.9","SP","85%","80%","59%","79%","85%","53%","15.5","46","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3029","B67083","852651","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",578,"37.7","99.3","5.5","5.5","15.5","SP","96%","94%","83%","97%","99%","52%","13","67.9","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3030","B67083","706337","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",308,"24.4","100","3.6","3.9","18.1",NA,"74%","79%","46%","92%","94%","64%","14.3","48.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3031","B67083","806889","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",206,"11.2","99","SP","SP","14",NA,"57%","52%","43%","71%","93%","14%","21.6","31.2","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3032","B67083","781401","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",578,"63.8","98.8","29.4","29.4","10.3",NA,"67%","76%","44%","80%","73%","56%","39.8","54.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3033","B67083","811041","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",329,"18.8","100","6.4","6.1","22.4",NA,"80%","86%","57%","86%","86%","46%","11.9","60","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3034","B67083","690708","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",319,"16.6","100","SP","SP","20.3","12.5","66%","41%","44%","78%","72%","33%","15.4","47.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3036","B67083","816396","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",336,"30.4","100","6.5","6.3","12.5",NA,"72%","67%","39%","85%","90%","56%","22.5","59.7","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3037","B67083","856207","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",601,"34.1","100","6.7","6.7","11.1",NA,"76%","75%","68%","95%","94%","68%","22.3","48.9","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3040","B67083","845779","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",375,"38.7","99.7","6.7","6.7","16",NA,"78%","74%","63%","79%","87%","52%","23.7","52.1","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3041","B67083","843547","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",291,"9.3","100","4.5","4.5","15.1",NA,"68%","62%","47%","63%","50%","17%","10.6","28.2","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3043","B67083","847933","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",248,"25","100","17.3","17.3","12.5",NA,"86%","91%","59%","81%","88%","31%","31.6","44","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3044","B67083","706418","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",478,"19.2","100","3.6","3.6","8.5",NA,"71%","69%","51%","86%","86%","63%","15.5","43.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3045","B67083","683246","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",488,"14.5","100","4.7","5.1","10.2",NA,"78%","67%","42%","80%","80%","41%","13.3","51.2","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3046","B67083","867942","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",229,"10.5","100",NA,NA,"15.7",NA,"100%","86%","62%","81%","71%","48%","9.2","40.7","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3047","B67083","839256","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",253,"43.9","100","4.7","4.7","9.8",NA,"74%","68%","55%","100%","96%","75%","12.2","54.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3048","B67083","685461","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",346,"21.7","100","SP","SP","14.1",NA,"75%","84%","72%","85%","85%","48%","12.5","60.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3049","B67083","789763","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",451,"40.6","100","8.4","8.4","11.3",NA,"78%","73%","51%","85%","79%","56%","19.6","75.7","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3050","B67083","730742","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",252,"13.9","100","SP","SP","21.8",NA,"71%","52%","52%","82%","77%","36%","16.7","56.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3051","B67083","843466","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",217,"32.3","100","13.8","13.8","7.3",NA,"80%","80%","75%","82%","91%","36%","23.4","51.9","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3052","B67083","680435","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",457,"6.1","100","SP","SP","20.3",NA,"89%","97%","70%","76%","79%","21%","5.9","40.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3053","B67083","771759","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",517,"25.7","99.4","6.6","6.6","12.5","SP","68%","55%","53%","69%","69%","31%","24.2","36.3","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3054","B67083","766364","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",555,"34.6","99.3","4.5","4.3","15.4",NA,"84%","95%","72%","82%","82%","48%","11.2","60.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3055","B67083","752029","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",348,"24.1","100","SP","SP","24.7",NA,"71%","77%","66%","68%","71%","59%","17.1","52.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3056","B67083","821365","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",319,"15.7","99.4","3.8","3.8","14.7",NA,"84%","84%","76%","86%","86%","23%","13.8","39","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3057","B67083","794791","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",273,"41","99.6","7.3","7.3","32.2",NA,"64%","75%","64%","68%","71%","32%","26","52.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3058","B67083","857238","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",364,"48.6","99.7","7.4","7.7","18.9",NA,"75%","70%","70%","83%","71%","49%","25.1","56.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3059","B67083","776742","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",488,"9","99.6","SP","SP","13.9",NA,"70%","54%","46%","86%","84%","61%","9.5","39.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3060","B67083","775797","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",407,"21.1","100","2.5","2.5","17.6",NA,"92%","85%","82%","80%","77%","54%","8.5","72.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3061","B67083","688182","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",499,"17.4","99.8","6.2","6.2","15.6","SP","72%","65%","33%","84%","84%","33%","14.1","46","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3063","B67083","848930","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",279,"19","99.6","3.9","3.9","15.7","SP","93%","97%","77%","88%","88%","50%","12.7","56.1","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3064","B67083","742171","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",358,"17","100","5.3","5.9","24.8",NA,"71%","71%","50%","90%","90%","59%","17.9","40","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3065","B67083","812896","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",684,"40.6","100","5.4","5.4","13.5","SP","72%","71%","56%","73%","72%","35%","14.9","45.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3066","B67083","863785","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",359,"19.8","100","3.1","3.1","6.9",NA,"90%","100%","90%","92%","95%","70%","12.1","62.2","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3067","B67083","798274","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",448,"31.3","99.8","4.7","4.7","8.9",NA,"82%","84%","69%","85%","90%","64%","16.8","45.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3068","B67083","773530","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",416,"15.1","99.8","4.6","4.6","12.7",NA,"79%","81%","46%","65%","62%","5%","17.5","33.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3069","B67083","832308","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",315,"27.9","99.4","9.2","9.2","10.4","SP","100%","91%","91%","91%","89%","74%","23.9","60.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3070","B67083","781819","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",294,"10.2","100","SP","SP","14.2",NA,"86%","74%","60%","81%","86%","17%","17.2","39.2","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3071","B67083","797278","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",254,"37","99.6","6.3","6.7","20",NA,"76%","84%","52%","86%","81%","52%","27.4","39.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3073","B67083","850071","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",374,"29.9","99.7","10.2","10.2","24.5","13.9","96%","96%","92%","98%","98%","89%","16.4","72.6","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3076","B67083","738857","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",696,"26","99.9","10.9","10.1","14.6","SP","88%","88%","77%","85%","85%","66%","17.5","81.7","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3077","B67083","850217","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",590,"26.8","99.5","7.3","7.3","19.3",NA,"72%","65%","49%","95%","95%","58%","21.6","71.7","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3080","B67083","865362","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",182,"11","100","SP","SP","18.1",NA,"88%","75%","69%","67%","76%","29%","15.9","42.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3081","B67083","780804","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",279,"33.3","100","5.7","5.7","13.6",NA,"86%","83%","58%","90%","94%","39%","18.1","51","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3082","B67083","750557","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",666,"1.8","100","SP","SP","14.4","SP","76%","69%","64%","76%","77%","26%","5.3","54.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3083","B67083","783870","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",456,"22.1","100","5.9","5.9","12.9",NA,"90%","77%","60%","92%","96%","71%","13.1","70.5","YES","YES","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3084","B67083","800007","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",499,"34.5","99.8","3.8","3.8","14",NA,"62%","49%","49%","81%","83%","42%","9.9","68.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3085","B67083","856959","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",525,"18.9","99.2","2.9","2.9","11.6",NA,"94%","79%","70%","85%","78%","39%","14.6","45.4","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3087","B67083","857165","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",431,"35.3","99.3","4.4","4.6","19.4",NA,"94%","91%","82%","79%","81%","50%","15.4","66.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3088","B67083","846473","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",462,"33.1","100","3.7","3.7","16.8",NA,"83%","74%","43%","76%","68%","24%","27","52.9","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3090","B67083","723967","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",430,"30.2","100","6.3","6.3","15.5",NA,"69%","62%","40%","80%","73%","37%","24.5","39.9","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3091","B67083","787647","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",334,"13.2","99.7","SP","SP","14.9",NA,"97%","100%","97%","100%","90%","45%","9.4","54.7","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3092","B67083","824950","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",268,"17.9","100","4.5","4.5","19.7",NA,"67%","54%","33%","66%","62%","19%","25.9","26.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3093","B67083","776175","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",584,"13","100","3.3","3.3","11.6",NA,"80%","79%","69%","91%","91%","75%","13.1","57.6","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3094","B67083","785997","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",222,"25.2","100","4.5","4.5","18",NA,"80%","84%","76%","91%","87%","61%","16.2","53.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3095","B67083","851299","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",399,"24.3","99.5","15","15.3","14.2","SP","76%","68%","59%","86%","82%","39%","22.1","50.6","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3096","B67083","708070","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",359,"22.8","100","5.8","5.8","15.3",NA,"73%","70%","49%","83%","78%","44%","18.2","43.2","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3097","B67083","849286","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",865,"5.9","99.8","SP","SP","14.3",NA,"73%","68%","56%","91%","94%","57%","7.5","44.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3098","B67083","858420","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",657,"26.2","100","8.2","8.1","17.1","SP","73%","81%","57%","75%","81%","47%","18.8","60.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3099","B67083","731447","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",491,"52.3","100","9.8","9.8","10.7","SP","69%","69%","50%","86%","86%","43%","24.3","51.2","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3100","B67083","759562","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",420,"54.5","99.3","13.3","13.8","10.7",NA,"63%","73%","58%","62%","73%","33%","34","44.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3101","B67083","706631","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",239,"7.1","99.6",NA,NA,"11.7","5.4","89%","96%","78%","100%","96%","48%","15.4","58.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3102","B67083","782606","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",297,"5.4","100","SP","SP","9","SP","88%","84%","70%","80%","91%","51%","10.6","56.9","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3103","B67083","797316","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",377,"17.2","100","6.6","5.6","17.5","SP","89%","84%","87%","79%","85%","64%","20","70","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3104","B67083","801100","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",326,"28.5","100","SP","SP","23.3","12.2","80%","88%","64%","95%","90%","67%","14.9","54","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3105","B67083","792020","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",515,"20.6","98.3","9.9","10.3","7.1","SP","84%","84%","67%","88%","84%","43%","19.2","60.8","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3108","B67083","714909","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",568,"27.6","99.8","13.2","13.4","10",NA,"78%","71%","59%","67%","69%","25%","33.9","35.3","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3109","B67083","850403","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",551,"60.6","100","10","10","7.8",NA,"96%","90%","79%","85%","90%","72%","18.9","54.5","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3110","B67083","730441","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",558,"29.6","100","3.9","3.9","11.1",NA,"68%","73%","46%","93%","91%","46%","13.1","48.9","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3111","B67083","684199","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",398,"16.1","99.7","4.5","4.5","14.5","SP","81%","74%","60%","95%","82%","30%","12.3","51.2","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3112","B67083","703222","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",490,"27.6","100","11.2","11.6","10.4","SP","88%","86%","57%","89%","89%","48%","19.5","79.6","YES","NO","YES","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3113","B67083","823090","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",274,"29.9","99.3","5.5","5.8","20","13.1","90%","90%","90%","92%","94%","69%","12.7","70.9","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3114","B67083","721020","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",654,"11.9","99.8","SP","SP","8.2",NA,"84%","80%","68%","83%","82%","51%","9.5","44.7","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
"3115","B67083","726494","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",479,"36.7","99.6","7.1","7.1","18.9","SP","84%","80%","57%","77%","80%","34%","17.2","41.4","YES","NO","NO","4,178","4,564","4,679","4,758","4,890","5,167","5,128","5,118","5,226","5,388","English","477.20","2,974.30"
