Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date
B66095,York Region DSB,Pub Dist Sch Brd (E/F),036471,Bayview Glen Public School,Public,Not applicable,Elementary,English,JK-8,,,42 Limcombe Dr,Markham,Thornhill,Ontario,L3T2V5,905-889-2448,905-889-2578,http://bayviewglen.ps.yrdsb.ca/,http://www.yrdsb.ca, 254 ,43.81053,-79.39257,53.5,100,6.7,6.7,7.8,NA,85%,-3,85%,0,70%,-9,98%,10,95%,4,84%,3,NA,NA,NA,NA,NA,NA,9.3,81.1,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),033561,Bayview Hill Elementary School,Public,Not applicable,Elementary,English,JK-8,,,81 Strathearn Ave,Richmond Hill,Richmond Hill,Ontario,L4B2J5,905-508-0806,905-508-6119,http://bayviewhill.es.yrdsb.ca/,http://www.yrdsb.ca, 736 ,43.86289,-79.40528,59.1,100,10.5,10.5,9.3,SP,84%,-2,88%,-5,88%,0,90%,8,94%,8,69%,-11,NA,NA,NA,NA,NA,NA,16,79.7,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),893978,Bayview Secondary School,Public,Not applicable,Secondary,English,9-12,,,10077 Bayview Ave,Richmond Hill,Richmond Hill,Ontario,L4C2L4,905-884-4453,905-770-3580,http://bayview.ss.yrdsb.ca/,http://www.yrdsb.ca, 1809 ,43.87822,-79.41491,61.6,99.8,10.8,10.8,18.4,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92%,-2,58%,2,93%,1,21.2,67.5,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),120199,Beckett Farm Public School,Public,Not applicable,Elementary,English,JK-8,,,78 Beckett Ave,Markham,Markham,Ontario,L6C0T3,,,http://beckettfarm.ps.yrdsb.ca/,http://www.yrdsb.ca, 708 ,43.88394,-79.30962,85.6,99.7,8.5,8.5,8.8,SP,86%,-6,89%,-11,82%,-12,92%,10,95%,5,80%,-1,NA,NA,NA,NA,NA,NA,20.2,70.3,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),047910,Beverley Acres Public School,Public,Not applicable,Elementary,English,1-8,,,283 Neal Dr,Richmond Hill,Richmond Hill,Ontario,L4C3L3,905-884-5059,905-884-9982,http://beverleyacres.ps.yrdsb.ca/,http://www.yrdsb.ca, 604 ,43.889,-79.4229,51,99.3,SP,SP,7.2,2.8,N/D,NA,N/D,NA,N/D,NA,95%,0,95%,-1,73%,-5,NA,NA,NA,NA,NA,NA,18.7,74.2,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),557674,Beynon Fields Public School,Public,Not applicable,Elementary,English,JK-8,,,258 Selwyn Rd,Richmond Hill,Richmond Hill,Ontario,L4E0R9,,,http://beynonfields.ps.yrdsb.ca/,http://www.yrdsb.ca, 733 ,43.916,-79.47098,44.9,99.3,2.5,2.5,6.8,2.1,N/D,NA,N/D,NA,86%,-8,98%,-1,99%,2,79%,-11,NA,NA,NA,NA,NA,NA,12.7,76.9,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),939585,Bill Crothers Secondary School,Public,Not applicable,Secondary,English,9-12,,,44 Main Street,Markham,Unionville,Ontario,L3R2E4,905-477-8503,905-477-7815,http://billcrothers.ss.yrdsb.ca/,http://www.yrdsb.ca, 1497 ,43.8583,-79.31,10.5,99.4,SP,SP,13.4,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86%,-5,67%,-20,93%,-1,12,53.1,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),890202,Bill Hogarth Secondary School,Public,Not applicable,Secondary,English,9-12,,,100 Donald Sim Ave,Markham,Markham,Ontario,L6B0R4,,,http://www.yrdsb.ca/schools/billhogarth.ss,http://www.yrdsb.ca, 423 ,43.89288,-79.23044,40,99.5,SP,SP,13.4,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92%,NA,55%,NA,94%,NA,11.9,53,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),050199,Black River Public School,Public,Not applicable,Elementary,English,JK-8,,Box 1120,5279 Black River Rd,Georgina,Sutton West,Ontario,L0E1R0,905-722-5889,905-722-6017,http://blackriver.ps.yrdsb.ca/,http://www.yrdsb.ca, 248 ,44.30849,-79.36799,SP,100,SP,SP,26.2,SP,27%,-56,23%,-55,15%,-50,64%,-5,57%,3,14%,-1,NA,NA,NA,NA,NA,NA,15,21.9,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),616722,Black Walnut Public School,Public,Not applicable,Elementary,English,JK-8,,,30 John Allan Cameron Street,Markham,Markham,Ontario,L6B0P4,,,http://blackwalnut.ps.yrdsb.ca/,http://www.yrdsb.ca, 746 ,43.89425,-79.22212,57.1,99.9,2.3,2.3,9.3,SP,89%,8,94%,5,75%,5,89%,-11,89%,-4,64%,-5,NA,NA,NA,NA,NA,NA,11.4,63.1,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),055131,Blue Willow Public School,Public,Not applicable,Elementary,English,JK-8,,,250 Blue Willow Dr,Vaughan,Woodbridge,Ontario,L4L9E1,905-851-0043,905-851-0890,http://bluewillow.ps.yrdsb.ca/,http://www.yrdsb.ca, 612 ,43.792,-79.5577,46.6,100,8,8.3,13,NA,67%,-14,69%,-16,69%,-7,79%,-14,76%,-14,46%,-6,NA,NA,NA,NA,NA,NA,9.8,57.6,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),055395,Bogart Public School,Public,Not applicable,Elementary,English,JK-8,,,855 College Manor Dr,Newmarket,Newmarket,Ontario,L3Y8G7,905-836-8041,905-836-1564,http://bogart.ps.yrdsb.ca/,http://www.yrdsb.ca, 630 ,44.04813,-79.43812,40,99.8,5.1,3.8,11.1,SP,89%,-2,93%,4,86%,0,87%,-3,88%,-4,63%,-1,NA,NA,NA,NA,NA,NA,14.1,54.9,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),418445,Bond Lake Public School,Public,Not applicable,Elementary,English,JK-8,,,245 Old Colony Road,Richmond Hill,Richmond Hill,Ontario,L4E5B9,,,http://bondlake.ps.yrdsb.ca/,http://www.yrdsb.ca, 583 ,43.93866,-79.43968,55.2,99.8,9.1,9.4,14,SP,92%,8,96%,6,80%,-6,92%,8,92%,4,70%,0,NA,NA,NA,NA,NA,NA,16,76.1,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),056405,Boxwood Public School,Public,Not applicable,Elementary,English,JK-8,,,30 Boxwood Cres,Markham,Markham,Ontario,L3S3P7,905-294-5563,905-294-1452,http://boxwood.ps.yrdsb.ca/,http://www.yrdsb.ca, 346 ,43.8557,-79.244,77.2,100,3.5,3.5,9.2,SP,85%,-6,73%,-24,67%,-7,80%,3,89%,10,51%,-6,NA,NA,NA,NA,NA,NA,21,44.8,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),034347,Brownridge Public School,Public,Not applicable,Elementary,English,JK-8,,,65 Brownridge Dr,Vaughan,Thornhill,Ontario,L4J7R8,905-660-3083,905-660-9462,http://brownridge.ps.yrdsb.ca/,http://www.yrdsb.ca, 322 ,43.80578,-79.4613,55.3,100,3.4,3.4,23.9,NA,71%,-3,60%,-16,57%,-8,72%,5,74%,0,39%,-24,NA,NA,NA,NA,NA,NA,14.2,72.6,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),933346,Bur Oak Secondary School,Public,Not applicable,Secondary,English,9-12,,,933 Bur Oak Avenue,Markham,Markham,Ontario,L6E1G4,905-202-1234,905-202-1236,http://buroak.ss.yrdsb.ca/,http://www.yrdsb.ca, 1580 ,43.8973,-79.2787,63,99.8,6.6,6.7,12.7,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97%,1,48%,-21,92%,-2,15.7,50.5,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),071870,Buttonville Public School,Public,Not applicable,Elementary,English,JK-8,,,141 John Button Blvd,Markham,Markham,Ontario,L3R9C2,905-513-9880,905-513-1755,http://buttonville.ps.yrdsb.ca/,http://www.yrdsb.ca, 452 ,43.86484,-79.35552,56.4,99.8,9.5,9.7,9,SP,74%,-18,83%,-11,66%,-26,92%,3,92%,3,69%,-5,NA,NA,NA,NA,NA,NA,11.5,78,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),211434,Carrville Mills Public School,Public,Not applicable,Elementary,English,JK-8,,,270 Apple Blossom Drive,Vaughan,Thornhill,Ontario,L4J8W5,905-709-2646,905-709-6409,http://carrvillemills.ps.yrdsb.ca,http://www.yrdsb.ca, 741 ,43.8407,-79.4727,38.7,99.9,5.1,5.3,13,SP,81%,6,85%,1,70%,-2,89%,6,91%,5,61%,12,NA,NA,NA,NA,NA,NA,7.4,81.5,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),086517,Castlemore Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,256 Ridgecrest Rd,Markham,Markham,Ontario,L6C2R5,905-887-1543,905-887-3849,http://castlemore.ps.yrdsb.ca/,http://www.yrdsb.ca, 737 ,43.89791,-79.3037,68.4,99.6,10,10.4,8.9,SP,87%,-7,87%,-11,85%,-10,88%,-4,91%,-1,79%,-15,NA,NA,NA,NA,NA,NA,18.5,65.9,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),090050,Cedarwood Public School,Public,Not applicable,Elementary,English,JK-8,,,399 Elson St,Markham,Markham,Ontario,L3S4R8,905-294-5756,905-294-3453,http://cedarwood.ps.yrdsb.ca/,http://www.yrdsb.ca, 697 ,43.84483,-79.24471,93.1,100,4.7,4.7,8.1,NA,95%,16,92%,-1,78%,-5,94%,8,93%,-2,70%,1,NA,NA,NA,NA,NA,NA,21.1,42.6,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),074527,Central Park Public School,Public,Not applicable,Elementary,English,JK-8,,,100 Central Park Dr,Markham,Markham,Ontario,L3P7G2,905-940-1444,905-940-1455,http://centralpark.ps.yrdsb.ca/,http://www.yrdsb.ca, 566 ,43.87999,-79.29209,65.7,100,7.8,7.8,6,SP,83%,-9,89%,-5,78%,-7,89%,0,87%,-5,65%,-8,NA,NA,NA,NA,NA,NA,11.2,66.7,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),101990,Charles Howitt Public School,Public,Not applicable,Elementary,English,JK-8,,,30 Pearson Ave,Richmond Hill,Richmond Hill,Ontario,L4C6T7,905-889-2522,905-889-9694,http://charleshowitt.ps.yrdsb.ca/,http://www.yrdsb.ca, 481 ,43.84385,-79.43829,59.5,100,11.2,11.2,29.1,19.3,71%,2,74%,-1,66%,-7,84%,1,82%,-5,62%,-4,NA,NA,NA,NA,NA,NA,19.1,80.7,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),115541,Charlton Public School,Public,Not applicable,Elementary,English,JK-8,,,121 Joseph Aaron Blvd,Vaughan,Thornhill,Ontario,L4J6J5,905-738-5497,905-738-1397,http://charlton.ps.yrdsb.ca/,http://www.yrdsb.ca, 268 ,43.79634,-79.46406,69,99.6,7.1,7.8,13.8,SP,83%,2,76%,2,79%,-2,83%,0,87%,0,65%,-12,NA,NA,NA,NA,NA,NA,9.1,78,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),111430,Clearmeadow Public School,Public,Not applicable,Elementary,English,JK-8,,,200 Clearmeadow Blvd,Newmarket,Newmarket,Ontario,L3X2E4,905-868-8081,905-868-8392,http://clearmeadow.ps.yrdsb.ca/,http://www.yrdsb.ca, 689 ,44.0371,-79.4879,28.2,99.7,4.5,4.5,14.5,SP,69%,-1,70%,-18,66%,-2,81%,-6,76%,-9,33%,-19,NA,NA,NA,NA,NA,NA,12.2,52.7,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),077011,Coledale Public School,Public,Not applicable,Elementary,English,JK-8,,,60 Coledale Rd,Markham,Markham,Ontario,L3R7W8,905-940-0123,905-940-9760,http://coledale.ps.yrdsb.ca/,http://www.yrdsb.ca, 471 ,43.86455,-79.34356,69.9,100,17.6,17.6,6.7,SP,92%,6,90%,-3,90%,-3,98%,9,100%,12,91%,5,NA,NA,NA,NA,NA,NA,24.3,79.1,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),122858,Coppard Glen Public School,Public,Not applicable,Elementary,English,JK-8,,,131 Coppard Ave,Markham,Markham,Ontario,L3S2T5,905-471-0419,905-471-0942,http://coppardglen.ps.yrdsb.ca/,http://www.yrdsb.ca, 593 ,43.84556,-79.27371,84.7,99.7,2.7,2.7,7,NA,71%,-7,84%,6,51%,-14,92%,0,95%,0,69%,-1,NA,NA,NA,NA,NA,NA,23.6,35.4,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),123609,Cornell Village Public School,Public,Not applicable,Elementary,English,JK-8,,,186 Country Glen Rd,Markham,Markham,Ontario,L6B1B5,905-471-1694,905-471-4212,http://cornellvillage.ps.yrdsb.ca/,http://www.yrdsb.ca, 638 ,43.89115,-79.23498,41.8,99.7,3.4,3.6,10.3,SP,78%,-4,73%,-12,60%,-12,86%,-8,90%,1,49%,-7,NA,NA,NA,NA,NA,NA,10.6,64.2,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),128511,Crosby Heights Public School,Public,Not applicable,Elementary,English,JK-8,,,190 Neal Drive,Richmond Hill,Richmond Hill,Ontario,L4C3K8,905-884-5281,905-884-7208,http://crosbyheights.ps.yrdsb.ca/,http://www.yrdsb.ca, 682 ,43.8846,-79.42548,61.9,99.9,18.6,18.8,35.7,29.6,55%,2,57%,-12,34%,-21,82%,-2,77%,-10,66%,-3,NA,NA,NA,NA,NA,NA,26.6,56.1,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),128457,Crossland Public School,Public,Not applicable,Elementary,English,JK-8,,,255 Brimson Dr,Newmarket,Newmarket,Ontario,L3X1H8,905-830-0500,905-830-4120,http://crossland.ps.yrdsb.ca/,http://www.yrdsb.ca, 393 ,44.04306,-79.4922,16,100,4.6,4.3,18.3,SP,88%,5,95%,9,76%,7,83%,-9,79%,-15,47%,-25,NA,NA,NA,NA,NA,NA,10,52.9,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),246078,David Suzuki Public School,Public,Not applicable,Elementary,English,JK-8,,,45 Riverwalk Dr,Markham,Markham,Ontario,L6B0L9,,,http://davidsuzuki.ps.yrdsb.ca/,http://www.yrdsb.ca, 774 ,43.85747931,-79.22207715,70.4,100,4,4,6.2,NA,82%,-7,86%,-10,68%,-21,90%,-3,95%,-1,73%,-9,NA,NA,NA,NA,NA,NA,11,60.2,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),236411,Deer Park Public School,Public,Not applicable,Elementary,English,JK-8,,,605 Varney Rd,Georgina,Keswick,Ontario,L4P3C8,905-476-4185,905-476-7648,http://deerpark.ps.yrdsb.ca/,http://www.yrdsb.ca, 154 ,44.2781,-79.47829,SP,100,SP,SP,16.8,NA,53%,-7,35%,-15,47%,27,75%,NA,75%,NA,25%,NA,NA,NA,NA,NA,NA,NA,12.6,26,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),136875,Denne Public School,Public,Not applicable,Elementary,English,JK-8,,,330 Burford St,Newmarket,Newmarket,Ontario,L3Y6L1,905-853-2303,905-853-0581,http://denne.ps.yrdsb.ca/,http://www.yrdsb.ca, 278 ,44.07071,-79.46246,10.1,100,SP,SP,16.5,NA,69%,30,69%,25,72%,50,64%,-2,67%,-2,36%,5,NA,NA,NA,NA,NA,NA,10.5,57.9,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),139343,Devins Drive Public School,Public,Not applicable,Elementary,English,JK-8,,,70 Devins Dr,Aurora,Aurora,Ontario,L4G2Z4,905-727-2022,905-727-9369,http://devinsdrive.ps.yrdsb.ca/,http://www.yrdsb.ca, 355 ,44.00569,-79.48023,28.2,100,5.4,5.4,12.3,SP,80%,21,93%,34,60%,13,87%,4,87%,12,17%,-29,NA,NA,NA,NA,NA,NA,10.3,67.5,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),140783,Discovery Public School,Public,Not applicable,Elementary,English,JK-8,,,120 Discovery Trail,Vaughan,Maple,Ontario,L6A2Z2,905-417-1622,905-417-1612,http://discovery.ps.yrdsb.ca/,http://www.yrdsb.ca, 564 ,43.8583,-79.5429,83.3,99.8,12.1,11.7,9.3,NA,80%,1,89%,2,80%,1,86%,-2,86%,-6,67%,3,NA,NA,NA,NA,NA,NA,20.6,42.9,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),072086,Donald Cousens Public School,Public,Not applicable,Elementary,English,JK-8,,,315 Mingay Avenue,Markham,Markham,Ontario,L6E1T5,905-202-8120,905-202-8121,http://donaldcousens.ps.yrdsb.ca/,http://www.yrdsb.ca, 696 ,43.904551,-79.276677,66.7,99.3,4.7,4.7,38.6,34.3,88%,0,84%,-8,74%,-6,98%,3,100%,6,82%,-3,NA,NA,NA,NA,NA,NA,13.9,67.9,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),136883,Doncrest Public School,Public,Not applicable,Elementary,English,JK-8,,,124 Blackmore Ave,Richmond Hill,Richmond Hill,Ontario,L4B2B1,905-882-4480,905-882-4558,http://doncrest.ps.yrdsb.ca/,http://www.yrdsb.ca, 632 ,43.85325,-79.3972,73.4,100,17.1,17.2,6.9,NA,67%,-18,69%,-18,75%,-5,88%,3,82%,1,65%,-2,NA,NA,NA,NA,NA,NA,24.9,74.3,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),905020,Dr G W Williams Secondary School,Public,Not applicable,Secondary,English,9-12,,,39 Dunning Ave,Aurora,Aurora,Ontario,L4G1A2,905-727-3131,905-727-8067,http://drgwwilliams.ss.yrdsb.ca/,http://www.yrdsb.ca, 769 ,43.9907,-79.46219,32.8,99.7,3.5,3.5,31.8,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92%,1,26%,-22,86%,-2,10,56.3,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),904970,Dr John M Denison Secondary School,Public,Not applicable,Secondary,English,9-12,,,135 Bristol Rd,Newmarket,Newmarket,Ontario,L3Y8J7,905-836-0021,905-836-7728,http://denison.ss.yrdsb.ca/,http://www.yrdsb.ca, 843 ,44.06902,-79.47705,26.3,99.5,3.6,3.2,27.1,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85%,7,40%,-1,80%,0,9.6,36.8,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),563982,Dr Roberta Bondar Public School,Public,Not applicable,Elementary,English,JK-8,,,401 Grand Trunk Avenue,Vaughan,Maple,Ontario,L6A0T4,905-417-8046,905-417-8492,http://drrobertabondar.ps.yrdsb.ca/,http://www.yrdsb.ca, 752 ,43.8525,-79.4894,56.3,99.7,6.1,6.3,7.7,NA,87%,10,84%,4,71%,1,95%,5,91%,2,68%,-12,NA,NA,NA,NA,NA,NA,9.6,74.6,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),619132,E J Sand Public School,Public,Not applicable,Elementary,English,JK-8,,,160 Henderson Ave,Markham,Thornhill,Ontario,L3T2L5,905-889-2753,905-889-1098,http://ejsand.ps.yrdsb.ca/,http://www.yrdsb.ca, 331 ,43.81169,-79.41258,77.9,100,35.3,35.6,8.7,NA,82%,15,82%,20,65%,-2,78%,28,80%,37,20%,-16,NA,NA,NA,NA,NA,NA,35.2,67.5,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),156019,E T Crowle Public School,Public,Not applicable,Elementary,English,JK-8,,,15 Larkin Ave,Markham,Markham,Ontario,L3P4P8,905-471-5775,905-471-1087,http://edwardtcrowle.ps.yrdsb.ca/,http://www.yrdsb.ca, 274 ,43.89098,-79.25658,28.8,100,SP,SP,12,SP,90%,-6,90%,-2,86%,4,96%,0,88%,-8,44%,-26,NA,NA,NA,NA,NA,NA,8.4,72.2,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),270680,Elder's Mills Public School,Public,Not applicable,Elementary,English,JK-8,,,120 Napa Valley Drive,Vaughan,Woodbridge,Ontario,L4H1L1,905-893-1631,905-893-7371,http://eldersmills.ps.yrdsb.ca/,http://www.yrdsb.ca, 604 ,43.81412,-79.6202,41.1,98.5,SP,SP,2.6,SP,N/D,NA,N/D,NA,66%,-18,98%,3,95%,5,60%,-18,NA,NA,NA,NA,NA,NA,9.6,53.5,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),281909,Ellen Fairclough Public School,Public,Not applicable,Elementary,English,JK-8,,,33 Brando Avenue,Markham,Markham,Ontario,L3S4K9,905-294-9455,905-294-6726,http://ellenfairclough.ps.yrdsb.ca/,http://www.yrdsb.ca, 438 ,43.84854,-79.25651,85.8,99.8,5.3,5.3,12.1,NA,73%,5,69%,-7,52%,-7,88%,0,84%,-9,59%,18,NA,NA,NA,NA,NA,NA,29.9,39.4,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),908819,Emily Carr Secondary School,Public,Not applicable,Secondary,English,9-12,,,4901 Rutherford Rd,Vaughan,Woodbridge,Ontario,L4H3C2,905-850-5012,905-850-7591,http://emilycarr.ss.yrdsb.ca/,http://www.yrdsb.ca, 1663 ,43.81732,-79.59349,12.3,99.9,1.3,1.3,14.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85%,1,40%,-23,88%,3,7.1,42.7,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),192937,Fairwood Public School,Public,Not applicable,Elementary,English,JK-8,,,201 Fairwood Drive,Georgina,Keswick,Ontario,L4P3Y5,905-476-5447,905-476-4345,http://fairwood.ps.yrdsb.ca/,http://www.yrdsb.ca, 366 ,44.222,-79.4492,4.1,100,SP,SP,19.6,NA,63%,-16,70%,-20,33%,-34,70%,19,75%,24,38%,27,NA,NA,NA,NA,NA,NA,12.8,34,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),201545,Forest Run Elementary School,Public,Not applicable,Elementary,English,JK-8,,,200 Forest Run Boulevard,Vaughan,Woodbridge,Ontario,L4K5H3,905-417-9227,905-417-9105,http://forestrun.ps.yrdsb.ca/,http://www.yrdsb.ca, 451 ,43.836,-79.4859,65.6,99.8,8.9,8.9,15,SP,89%,16,86%,7,76%,9,87%,2,94%,11,56%,-1,NA,NA,NA,NA,NA,NA,10.6,67.9,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),054640,Fossil Hill Public School,Public,Not applicable,Elementary,English,JK-8,,,2 Firenza Rd,Vaughan,Woodbridge,Ontario,L4H2P5,905-653-8055,905-653-8063,http://fossilhill.ps.yrdsb.ca/,http://www.yrdsb.ca, 620 ,43.8368,-79.5651,75.6,100,5.8,5.8,7.7,NA,76%,-4,76%,-17,53%,-17,92%,9,90%,0,48%,-11,NA,NA,NA,NA,NA,NA,10.7,51.6,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),204170,Franklin Street Public School,Public,Not applicable,Elementary,English,JK-8,,,21 Franklin St,Markham,Markham,Ontario,L3P2S7,905-294-3562,905-294-6665,http://franklinstreet.ps.yrdsb.ca/,http://www.yrdsb.ca, 484 ,43.87985,-79.25868,28.7,100,3.1,2.9,12.6,2,70%,10,57%,-23,79%,-11,88%,1,87%,-2,54%,-26,NA,NA,NA,NA,NA,NA,10.4,67,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),201776,Fred Varley Public School,Public,Not applicable,Elementary,English,JK-8,,,81 Alexander Lawrie Avenue,Markham,Markham,Ontario,L6E0J8,,,http://fredvarley.ps.yrdsb.ca/,http://www.yrdsb.ca, 614 ,43.89122461,-79.28616278,65.6,100,3.4,3.7,4.3,NA,85%,1,82%,-6,82%,-2,96%,8,96%,5,79%,10,NA,NA,NA,NA,NA,NA,14.4,63.7,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),213730,German Mills Public School,Public,Not applicable,Elementary,English,JK-8,,,61 Simonston Blvd,Markham,Thornhill,Ontario,L3T4R5,905-889-8776,905-889-8725,http://germanmills.ps.yrdsb.ca/,http://www.yrdsb.ca, 329 ,43.81495,-79.36681,42.9,100,4.9,4.9,15.5,SP,87%,12,61%,-24,48%,-37,76%,-6,79%,-10,48%,-20,NA,NA,NA,NA,NA,NA,11.4,72.5,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),213772,Glad Park Public School,Public,Not applicable,Elementary,English,JK-8,,,300 Glad Park Ave,Whitchurch - Stouffville,Stouffville,Ontario,L4A1E5,905-642-0224,905-642-0471,http://gladpark.ps.yrdsb.ca/,http://www.yrdsb.ca, 791 ,43.9742,-79.2588,25.4,99.7,1.8,1.8,8.8,SP,79%,3,61%,-18,63%,-15,84%,-2,86%,-5,57%,2,NA,NA,NA,NA,NA,NA,9.1,55.2,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),217220,Glen Cedar Public School,Public,Not applicable,Elementary,English,JK-8,,,915 Wayne Dr,Newmarket,Newmarket,Ontario,L3Y5W1,905-895-1500,905-895-8071,http://glencedar.ps.yrdsb.ca/,http://www.yrdsb.ca, 216 ,44.06912,-79.44009,19.9,100,SP,SP,13.4,SP,75%,42,75%,36,75%,42,80%,-2,76%,-10,28%,5,NA,NA,NA,NA,NA,NA,15.4,42.6,6/17/2019
B66095,York Region DSB,Pub Dist Sch Brd (E/F),213861,Glen Shields Public School,Public,Not applicable,Elementary,English,JK-8,,,158 Glen Shields Ave,Vaughan,Concord,Ontario,L4K1T8,905-738-0333,905-738-8058,http://glenshields.ps.yrdsb.ca/,http://www.yrdsb.ca, 425 ,43.79199,-79.48184,56.7,100,6.4,6.4,36.4,31,85%,4,89%,8,67%,-4,95%,5,94%,4,79%,-4,NA,NA,NA,NA,NA,NA,11.1,61,6/17/2019
